x,y,color,target
3.26,-2.89,Y,1.0
2.38,3.26,B,1.0
7.69,-1.98,Y,1.0
6.82,4.8,B,1.0
11.85,-0.73,Y,1.0
10.78,5.97,B,1.0
16.7,2.64,Y,1.0
19.99,5.73,Y,1.0
13.99,9.73,B,1.0
22.02,9.45,Y,1.0
16.14,13.42,B,1.0
25.05,13.5,Y,1.0
26.02,17.75,Y,1.0
18.02,17.75,B,1.0
26.53,22.24,Y,1.0
18.53,22.24,B,1.0
26.32,26.63,Y,1.0
17.89,26.85,B,1.0
25.25,32.02,Y,1.0
15.88,31.13,B,1.0
23.33,36.11,Y,1.0
20.37,39.89,Y,1.0
13.62,34.74,B,1.0
17.15,43.06,Y,1.0
1.13,0.03,M,
6.69,1.02,M,
11.83,3.36,M,
16.23,6.9,M,
19.6,11.43,M,
21.75,16.65,M,
22.53,22.24,M,
21.89,27.85,M,
19.88,33.13,M,
16.62,37.74,M,
