x,y,color,target
3.35,-2.85,Y,1.0
2.47,3.33,B,1.0
7.6,-2.1,Y,1.0
6.53,5.2,B,1.0
11.45,-0.25,Y,1.0
15.01,2.68,Y,1.0
10.57,8.19,B,1.0
18.04,5.84,Y,1.0
13.42,11.61,B,1.0
20.72,10.48,Y,1.0
23.53,13.44,Y,1.0
15.53,15.44,B,1.0
25.74,17.51,Y,1.0
17.74,19.51,B,1.0
27.79,21.58,Y,1.0
19.79,23.58,B,1.0
29.74,25.46,Y,1.0
21.74,27.46,B,1.0
31.16,29.76,Y,1.0
25.16,31.76,B,1.0
27.15,35.55,B,1.0
34.2,32.66,Y,1.0
30.85,37.91,B,1.0
35.0,39.97,B,1.0
38.46,34.12,Y,1.0
39.02,40.13,B,1.0
43.27,33.57,Y,1.0
43.27,39.57,B,1.0
47.93,38.58,B,1.0
47.82,31.92,Y,1.0
51.73,37.17,B,1.0
51.65,30.32,Y,1.0
55.57,35.39,B,1.0
55.47,28.38,Y,1.0
59.35,33.29,B,1.0
60.09,26.55,Y,1.0
62.98,29.95,B,1.0
66.54,28.05,B,1.0
63.35,23.4,Y,1.0
69.67,25.38,B,1.0
66.39,20.7,Y,1.0
72.99,21.91,B,1.0
69.55,17.21,Y,1.0
75.1,18.04,B,1.0
72.6,12.9,Y,1.0
78.02,14.92,B,1.0
75.36,9.06,Y,1.0
80.2,10.87,B,1.0
78.14,5.93,Y,1.0
83.49,7.34,B,1.0
79.42,1.64,Y,1.0
85.42,3.64,B,1.0
80.95,-2.59,Y,1.0
86.95,-0.59,B,1.0
87.75,-4.88,B,1.0
82.08,-6.71,Y,1.0
88.48,-9.71,B,1.0
82.59,-10.78,Y,1.0
88.85,-14.26,B,1.0
82.91,-15.51,Y,1.0
83.02,-19.55,Y,1.0
89.02,-19.55,B,1.0
96.24924049614015,-16.801693637104602,Y,0.0
37.67924604211488,44.69430465683187,B,0.0
1.2,0.04,M,
6.61,1.27,M,
11.18,3.99,M,
15.04,7.84,M,
18.34,12.45,M,
21.21,17.49,M,
23.79,22.58,M,
26.22,27.37,M,
28.65,31.52,M,
31.2,34.66,M,
34.02,36.45,M,
37.46,37.12,M,
41.51,36.89,M,
46.0,35.87,M,
50.73,34.17,M,
55.52,31.89,M,
60.19,29.15,M,
64.54,26.05,M,
68.39,22.7,M,
71.55,19.21,M,
74.11,15.59,M,
76.48,12.29,M,
78.61,9.28,M,
80.49,6.34,M,
82.12,3.28,M,
83.48,-0.1,M,
84.57,-4.02,M,
85.36,-8.67,M,
85.85,-14.26,M,
86.03,-21.0,M,
