x,y,color,target
3.77,-2.87,Y,1.0
3.15,3.29,B,1.0
7.87,-2.2,Y,1.0
7.21,4.15,B,1.0
12.84,-0.97,Y,1.0
11.37,6.16,B,1.0
16.59,0.81,Y,1.0
21.07,4.08,Y,1.0
15.07,8.08,B,1.0
24.2,6.82,Y,1.0
18.2,10.82,B,1.0
26.91,9.96,Y,1.0
20.91,13.96,B,1.0
30.17,14.45,Y,1.0
22.81,17.68,B,1.0
31.92,18.22,Y,1.0
24.38,21.53,B,1.0
33.13,23.2,Y,1.0
25.62,25.92,B,1.0
33.77,27.3,Y,1.0
25.88,30.07,B,1.0
33.84,32.46,Y,1.0
33.34,36.58,Y,1.0
25.34,34.58,B,1.0
32.26,41.59,Y,1.0
23.78,38.89,B,1.0
30.64,45.42,Y,1.0
21.99,42.64,B,1.0
27.51,48.99,Y,1.0
19.82,46.18,B,1.0
1.39,0.03,M,
8.21,1.15,M,
14.59,3.81,M,
20.2,7.86,M,
24.72,13.09,M,
27.92,19.22,M,
29.62,25.92,M,
29.74,32.84,M,
28.26,39.59,M,
25.27,45.83,M,
