,loss,categorical_accuracy
0,0.6083125472068787,5.0060072680935264e-05
1,0.4095505177974701,1.6686690287315287e-05
2,0.28935569524765015,0.0018522227182984352
3,0.22723433375358582,0.013883326202630997
4,0.20205152034759521,0.1564711034297943
5,0.1911044716835022,0.44997331500053406
6,0.18463264405727386,0.5638766288757324
7,0.18004943430423737,0.6148211359977722
8,0.17649175226688385,0.6675009727478027
9,0.17363382875919342,0.7120044231414795
10,0.1712695062160492,0.7638332843780518
11,0.16930550336837769,0.8508877158164978
12,0.16762983798980713,0.9383426904678345
13,0.16617846488952637,0.9941262602806091
14,0.16493120789527893,1.0
15,0.16384129226207733,1.0
16,0.16288535296916962,1.0
17,0.16205614805221558,1.0
18,0.16131126880645752,1.0
19,0.1606619656085968,1.0
20,0.16009274125099182,1.0
21,0.15957865118980408,1.0
22,0.15911996364593506,1.0
23,0.15871351957321167,1.0
24,0.1583445817232132,1.0
25,0.15801873803138733,1.0
26,0.15772436559200287,1.0
27,0.1574551910161972,1.0
28,0.15722553431987762,1.0
29,0.15700960159301758,1.0
30,0.15682153403759003,1.0
31,0.15664881467819214,1.0
32,0.15649089217185974,1.0
33,0.15635275840759277,1.0
34,0.156225323677063,1.0
35,0.15611222386360168,1.0
36,0.15600994229316711,1.0
37,0.1559174656867981,1.0
38,0.15583471953868866,1.0
39,0.15575887262821198,1.0
40,0.15569064021110535,1.0
41,0.15563012659549713,1.0
42,0.15557442605495453,1.0
43,0.15552397072315216,1.0
44,0.15547840297222137,1.0
45,0.15543736517429352,1.0
46,0.15540030598640442,1.0
47,0.1553671956062317,1.0
48,0.15533649921417236,1.0
49,0.15530943870544434,1.0
